250
1	1	2
2	1	10
3	1	17
4	1	42
5	2	5
6	2	16
7	2	29
8	2	44
9	3	11
10	3	37
11	4	10
12	4	18
13	4	35
14	5	11
15	5	44
16	6	8
17	6	19
18	6	23
19	6	37
20	6	45
21	7	11
22	7	14
23	7	15
24	7	31
25	7	45
26	8	80
27	9	23
28	9	36
29	9	42
30	10	14
31	10	17
32	10	33
33	11	50
34	12	13
35	12	41
36	12	45
37	12	49
38	13	17
39	13	23
40	13	44
41	14	25
42	14	32
43	14	34
44	14	44
45	15	21
46	15	35
47	16	22
48	16	35
49	17	21
50	17	44
51	17	48
52	18	21
53	18	32
54	18	50
55	19	49
56	20	27
57	20	31
58	22	31
59	22	47
60	23	32
61	24	29
62	24	33
63	24	50
64	25	31
65	26	32
66	26	36
67	26	37
68	26	42
69	26	43
70	27	41
71	28	49
72	28	97
73	29	30
74	29	36
75	29	38
76	31	46
77	32	36
78	38	42
79	39	40
80	39	41
81	42	48
82	43	147
83	45	49
84	45	50
85	46	50
86	51	52
87	51	60
88	51	67
89	51	92
90	52	55
91	52	66
92	52	79
93	52	94
94	53	61
95	53	87
96	54	60
97	54	68
98	54	85
99	55	61
100	55	94
101	56	58
102	56	69
103	56	73
104	56	87
105	56	95
106	57	61
107	57	64
108	57	65
109	57	81
110	57	95
111	59	73
112	59	86
113	59	92
114	60	64
115	60	67
116	60	83
117	61	100
118	62	63
119	62	91
120	62	95
121	62	99
122	63	67
123	63	73
124	63	94
125	64	75
126	64	82
127	64	84
128	64	94
129	65	71
130	65	85
131	66	72
132	66	85
133	67	71
134	67	94
135	67	98
136	68	71
137	68	82
138	68	100
139	69	99
140	70	77
141	70	81
142	72	81
143	72	97
144	73	82
145	74	79
146	74	83
147	74	100
148	75	81
149	76	82
150	76	86
151	76	87
152	76	92
153	76	93
154	77	91
155	78	99
156	79	80
157	79	86
158	79	88
159	81	96
160	82	86
161	88	92
162	89	90
163	89	91
164	92	98
165	93	140
166	95	99
167	95	100
168	96	100
169	101	102
170	101	110
171	101	117
172	101	142
173	102	105
174	102	116
175	102	129
176	102	144
177	103	111
178	103	137
179	104	110
180	104	118
181	104	135
182	105	111
183	105	144
184	106	108
185	106	119
186	106	123
187	106	137
188	106	145
189	107	111
190	107	114
191	107	115
192	107	131
193	107	145
194	109	123
195	109	136
196	109	142
197	110	114
198	110	117
199	110	133
200	111	150
201	112	113
202	112	141
203	112	145
204	112	149
205	113	117
206	113	123
207	113	144
208	114	125
209	114	132
210	114	134
211	114	144
212	115	121
213	115	135
214	116	122
215	116	135
216	117	121
217	117	144
218	117	148
219	118	121
220	118	132
221	118	150
222	119	149
223	120	127
224	120	131
225	122	131
226	122	147
227	123	132
228	124	129
229	124	133
230	124	150
231	125	131
232	126	132
233	126	136
234	126	137
235	126	142
236	126	143
237	127	141
238	128	149
239	129	130
240	129	136
241	129	138
242	131	146
243	132	136
244	138	142
245	139	140
246	139	141
247	142	148
248	145	149
249	145	150
250	146	150
